Time:                         Temperature(C):        Altitude(m):      Pressure(psi):
2014:14:07:04:22  -53.46817314018873  15658.663009460719  62.201682522844415
2014:14:07:04:23 -53.306681766276256  16018.236760403885    62.2825627262058
:                             :                   :                   :
:                             :                   :                   :
2014:14:07:04:23  -51.47451142532457   16747.71095521402  63.624874410032064
2014:14:07:04:24  -50.32768226412822  16924.964076554308   64.36525011067506
2014:14:07:04:24 -48.546210962504844  17062.950607685503   64.40056394000581
2014:14:07:04:24 -46.907733261054304  17098.390857504754    64.4040136549806
2014:14:07:04:24  -46.79570695875995   18538.27047954697    64.6012247068517
:                             :                   :                   :
2014:14:07:04:25  -43.08362056538493  19350.863244312124   66.13575458679021
2014:14:07:04:25  -42.34695665188389  19386.388688486102   66.69060651400827
2014:14:07:04:25  -40.03505307403308  19424.767627853915   66.86699775656169
2014:14:07:04:26  -39.29211333381318  20206.022295026632   67.87369651085396
2014:14:07:04:26  -37.30929731004298   20352.67704178615   68.33342144880294
2014:14:07:04:26 -34.450761363589145   20370.44615290027   68.74115648690449
2014:14:07:04:26  -34.15455789899171   20405.56965259459   69.48881935829543
2014:14:07:04:27 -30.515421592178974  20573.176071348837   69.66594546718885
2014:14:07:04:27 -29.584526030433068  20582.022352776698   69.73458188403781
2014:14:07:04:27 -28.257287946434055  20605.551411698758   70.35280215341277
2014:14:07:04:27   -27.9838862071777  21547.223808727835   70.88405892590632
2014:14:07:04:28  -27.28049511057048  21820.214734931415   71.13435317036564
2014:14:07:04:28 -27.051856785105013   22123.49509126622    71.2355580242574
:                             :                   :                   :
2014:14:07:04:28  -24.16555930460878   22561.86138176874   72.28138602220713
2014:14:07:04:29 -21.157089027265986  22969.533944877217   72.36851040115178
2014:14:07:04:29  -21.10605922518468   22981.08863484764   72.43833926175225
2014:14:07:04:29  -20.37491926200987  23455.055910721552    72.8731541655403
:                             :                   :                   :
2014:14:07:04:30 -17.456537039139146  24046.543404839005   73.23792682710773
2014:14:07:04:30  -16.54613487381304  24056.479559042575     73.466084585756
2014:14:07:04:30 -13.416283695461122  24108.265605666973   73.52273791483621
2014:14:07:04:30 -13.282218366382834  24331.918385703506   73.72860901423527
2014:14:07:04:31 -11.438659131953857  24348.809726503616   74.02908538546527
2014:14:07:04:31  -9.219281729044065   24569.32872412739   74.04546192688377
2014:14:07:04:31  -8.398726171048992  24601.178400547036   74.35348950716292
2014:14:07:04:31  -8.215335367415312  24918.739686328747   75.00561889998258
:                             :                   :                   :
2014:14:07:04:32  -5.761490582442259  25186.638659242013   75.31717283059014
2014:14:07:04:32  -5.176138823804735  25772.977024427873   75.45234356032937
2014:14:07:04:32  -4.112939242851621  25854.303288120762   75.45244366894966
2014:14:07:04:33  0.7971673932969499   25889.38602786364   75.52943303701709
:                             :                   :                   :
2014:14:07:04:33   2.995848334713804  27185.034751635794    76.6420697394532
2014:14:07:04:33   4.968322124390265   27583.98907425506   76.66965175951668
2014:14:07:04:34  5.3894019370427415  27637.936413068423   76.76768396890022
2014:14:07:04:34   6.286440277493782   28354.17383331451   76.98629605780272
2014:14:07:04:34   8.777469116304202  28937.955699268936   77.52150237098077
2014:14:07:04:34   9.160276731795356   29497.08071271388   77.64513053446164
2014:14:07:04:35  10.251158320929193  29559.205026691943   77.66271134236335
2014:14:07:04:35  15.372329138658152   29753.15423829318   77.71095196426047
2014:14:07:04:35   16.40045859495328  29866.305186496593   78.49933883896098
2014:14:07:04:35  21.278497965899458  29977.775185133512   79.13013907942302
